INSTANCE,#STATES,#TRANS,#ITER,#PRES,#TABLENODES,#RESULTMARKNODES,MAXPATH,MAXSIZE,RESULT 
lamport,11,9,5,45,3210,218,19,320,safe
read-write,13,9,9,81,9923,1124,31,1124,safe
peterson,14,12,6,72,6799,825,26,825,safe
